fixed,fixed_value,variable,in_a,agg,model,theta
[pubcount],[5.0],"[pubkey, year]",name,count,const,0.999636626509063
[pubcount],[6.0],"[pubkey, year]",name,count,const,0.999574813001056
[pubcount],[7.0],"[pubkey, year]",name,count,const,1
[pubcount],[8.0],"[pubkey, year]",name,count,const,1
"[year, pubcount]","[2004.0, 4.0]",[pubkey],name,count,const,0.865985467909173
"[year, pubcount]","[2005.0, 5.0]",[pubkey],name,count,const,1
"[year, pubcount]","[2005.0, 6.0]",[pubkey],name,count,const,1
"[year, pubcount]","[2006.0, 7.0]",[pubkey],name,count,const,1
"[year, pubcount]","[2007.0, 5.0]",[pubkey],name,count,const,1
"[year, pubcount]","[2008.0, 5.0]",[pubkey],name,count,const,0.934279075624251
"[year, pubcount]","[2008.0, 6.0]",[pubkey],name,count,const,1
"[year, pubcount]","[2011.0, 4.0]",[pubkey],name,count,const,0.779777408475716
"[year, pubcount]","[2011.0, 6.0]",[pubkey],name,count,const,0.778800783071405
"[year, pubcount]","[2012.0, 5.0]",[pubkey],name,count,const,0.778800783071405
"[year, pubcount]","[2013.0, 5.0]",[pubkey],name,count,const,0.930627225044365
"[pubkey, pubcount]","["" conf/aaai"", 5.0]",[year],name,count,const,0.896432373341911
"[pubkey, pubcount]","["" conf/aaai"", 6.0]",[year],name,count,const,0.778800783071405
"[pubkey, pubcount]","["" conf/icde"", 5.0]",[year],name,count,const,0.930627225044365
"[pubkey, pubcount]","["" conf/icml"", 5.0]",[year],name,count,const,1
"[pubkey, pubcount]","["" conf/kdd"", 4.0]",[year],name,count,const,0.962565773247296
"[pubkey, pubcount]","["" conf/kdd"", 5.0]",[year],name,count,const,0.907765516676439
"[pubkey, pubcount]","["" conf/nips"", 5.0]",[year],name,count,const,0.962565773247296
"[pubkey, pubcount]","["" conf/nips"", 7.0]",[year],name,count,const,1
"[pubkey, pubcount]","["" conf/pods"", 3.0]",[year],name,count,const,1
"[pubkey, pubcount]","["" conf/sigmod"", 3.0]",[year],name,count,const,0.969045084536114
"[pubkey, pubcount]","["" conf/sigmod"", 5.0]",[year],name,count,const,1
"[pubkey, pubcount]","["" conf/sigmod"", 6.0]",[year],name,count,const,1
"[pubkey, pubcount]","["" conf/vldb"", 1.0]",[year],name,count,linear,0.79407415350848
"[pubkey, pubcount]","["" conf/vldb"", 3.0]",[year],name,count,const,0.786591420873993
"[pubkey, pubcount]","["" journals/pvldb"", 1.0]",[year],name,count,const,0.820835969214496
"[pubkey, pubcount]","["" journals/pvldb"", 5.0]",[year],name,count,const,1
"[pubkey, pubcount]","["" journals/vldb"", 3.0]",[year],name,count,const,0.955375080765052
