fixed,variable,in_a,agg,model,theta,lambda
[pubcount],"[name, year]",pubkey,count,const,0.75,0.888888888888889
[year],"[name, pubcount]",pubkey,count,const,0.75,1
"[year, pubcount]",[name],pubkey,count,const,0.75,0.833333333333333
[year],[name],pubkey,count,const,0.75,1
[pubcount],"[name, pubkey]",year,count,const,0.75,0.888888888888889
[pubkey],"[name, pubcount]",year,count,const,0.75,1
[pubkey],[name],year,count,const,0.75,0.909090909090909
[year],"[name, pubkey]",pubcount,count,const,0.75,1
[pubkey],"[name, year]",pubcount,count,const,0.75,1
"[pubkey, year]",[name],pubcount,count,const,0.75,1
[pubkey],[name],pubcount,count,const,0.75,0.909090909090909
[year],[name],pubcount,count,const,0.75,1
[year],"[name, pubkey]",pubcount,sum,const,0.75,1
[pubkey],"[name, year]",pubcount,sum,const,0.75,1
"[pubkey, year]",[name],pubcount,sum,const,0.75,1
[year],[name],pubcount,sum,const,0.75,1
