id,fixed,fixedvalue,variable,aggfunction,aggvalue,pattern,metric
1,{name},'Ning Ruan',{year},sum,pubcount,decreasing,0.74999999999999989
2,{name},'Markus Peters',{year},sum,pubcount,increasing,1.0
3,{name},'Jan Treur',{year},sum,pubcount,decreasing,1.0
4,{name},'Shouxu Jiang',{year},sum,pubcount,increasing,0.74999999999999989
5,{name},'Ke Deng',{year},sum,pubcount,decreasing,0.74999999999999989
6,{name},'Zhijun Yin',{year},sum,pubcount,decreasing,1.0
7,{name},'Michael May',{year},sum,pubcount,decreasing,1.0
8,{name},'Mirella Moura Moro',{year},sum,pubcount,decreasing,1.0
9,{name},'Liva Ralaivola',{year},sum,pubcount,increasing,0.75
10,{name},'S+\xacbastien Konieczny',{year},sum,pubcount,increasing,1.0
11,{name},'Ting Liu',{year},sum,pubcount,increasing,0.74999999999999989
12,{name},'Alban Grastien',{year},sum,pubcount,decreasing,1.0
13,{name},'Hassan Chafi',{year},sum,pubcount,increasing,1.0
14,{name},'Arun Iyengar',{year},sum,pubcount,increasing,0.74999999999999989
15,{name},'Shariq Rizvi',{year},sum,pubcount,decreasing,0.74999999999999989
16,{name},'Mohamed Nabeel',{year},sum,pubcount,decreasing,1.0
17,{name},'Zhenghao Chen',{year},sum,pubcount,increasing,1.0
18,{name},'Bing Tian Dai',{year},sum,pubcount,increasing,1.0
19,{name},'Pradeep Varakantham',{year},sum,pubcount,increasing,0.74999999999999989
20,{name},'Raghotham Murthy',{year},sum,pubcount,decreasing,1.0
21,{name},'Umar Syed',{year},sum,pubcount,decreasing,0.75
22,{name},'Thomas Navin Lal',{year},sum,pubcount,decreasing,1.0
23,{name},'Yucheng Low',{year},sum,pubcount,decreasing,1.0
24,{name},'Fei Chiang',{year},sum,pubcount,decreasing,0.75
25,{name},'Hyun Jin Moon',{year},sum,pubcount,decreasing,0.75
26,{name},'Zheng-Jun Zha',{year},sum,pubcount,increasing,1.0
27,{name},'Namit Jain',{year},sum,pubcount,decreasing,0.75
28,{name},'Michael W. Mahoney',{year},sum,pubcount,decreasing,0.7142857142857143
29,{name},'Guozhang Wang',{year},sum,pubcount,decreasing,0.75
30,{name},'Yudong Chen',{year},sum,pubcount,decreasing,0.74999999999999989
31,{name},'Guillaume Bouchard',{year},sum,pubcount,increasing,1.0
